"","Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"227_2332",0.715966152371647,1.0673952619595e-08,0.00934427985582914,1.06739526176799e-08,0.179922732148678,0.0520051012777717,0.042761659628406,1.0673952619595e-08,1.0673952619595e-08,1.0673952619595e-08,1.0673952619595e-08,1.0673952619595e-08
"227_2756",0.838901358489523,0.00427107958662212,0.0184701732582677,1.11188938513095e-08,0.138357299714436,1.11188938513095e-08,1.11188938513095e-08,1.11188938513095e-08,1.11188938513095e-08,1.11188938513095e-08,1.11188938513095e-08,1.11188938513095e-08
"227_3180",0.808823592631243,1.18069883660858e-08,1.18069883661559e-08,1.18069883661559e-08,0.191176289298873,1.18069883661559e-08,1.18069883661559e-08,1.18069883660858e-08,1.18069883661559e-08,1.18069883661559e-08,1.18069883661559e-08,1.18069883661559e-08
"227_3604",0.580646421826506,0.00123570936984685,1.08335385743046e-08,1.08335385743046e-08,0.40348554451791,1.08335385743046e-08,1.08335385743046e-08,0.0146322376174282,1.08335385743046e-08,1.08335385743046e-08,1.08335385742402e-08,1.08335385743046e-08
"227_4028",0.366028929983493,1.24793731682182e-08,0.0171782381182603,1.24793731682182e-08,0.616792719583888,1.24793731682182e-08,1.24793731682182e-08,1.24793731682182e-08,1.24793731682182e-08,1.24793731682182e-08,1.24793731682182e-08,1.24793731682182e-08
"227_4452",0.403471751990004,1.27325332697438e-08,0.0286764460858856,1.27325332697438e-08,0.557708452355352,1.27325332697438e-08,1.27325332697438e-08,1.27325332697438e-08,0.0101432477084928,1.27325332697438e-08,1.27325332697438e-08,1.27325332697438e-08
"681_1908",0.805746035668255,1.08851589822582e-08,0.0464629961535397,1.08851589822582e-08,0.13357324210615,0.01215959819655,1.08851589822582e-08,1.08851589822582e-08,0.00205805167939257,1.08851589822582e-08,1.08851589822582e-08,1.08851589822582e-08
"681_2332",0.846232060172031,1.22323852987697e-08,1.22323852987697e-08,1.22323852987697e-08,0.153767817504116,1.22323852987697e-08,1.22323852987697e-08,1.22323852987697e-08,1.22323852987697e-08,1.22323852987697e-08,1.22323852987697e-08,1.22323852923311e-08
"681_2756",0.92189305078983,0.0725297973648881,0.00557703749068411,1.27060664700037e-08,1.27060664700037e-08,1.27060664700037e-08,1.27060664700037e-08,1.27060664700037e-08,1.27060664700037e-08,1.27060664633158e-08,1.27060664700037e-08,1.27060664700037e-08
"681_3180",0.833599079989406,0.124716797437974,0.0416840094510792,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08,1.25690601729499e-08
