"Atrial cardiomyocytes","Capillary endothelium","Cardiac neural crest cells & Schwann progenitor cells","Endothelium / pericytes / adventitia","Epicardial cells","Epicardium-derived cells","Fibroblast-like (related to cardiac skeleton connective tissue)","Fibroblast-like (related to larger vascular development)","Fibroblast-like (related to smaller vascular development)","Myoz2-enriched cardiomyocytes","Smooth muscle cells / fibroblast-like)","Ventricular cardiomyocytes"
"TBX5",0.0315200171794036,0.00278089196885939,0.0097173532866631,0,0.014257354917057,0.002511417332936,0.00990792599483644,0.0052585046940759,0.00207451273080312,0.00582436644873119,0.0134832371681125,0.00697312617967808
"PAM",0.10728696134217,0.0459801189284346,0.0175010178878911,0.0908765768906859,0.00722275972013006,0.00328664938389715,0.0122519682660905,0.0113355532015032,0.00674628824014928,0.00398648630835739,0.00523070888474842,0.0118594972284423
"ISL1",0.000777832489759801,8.51207816092338e-05,0,0,0.00115935264652944,0,0.000297507510637478,0.000262689894312509,5.46872405089103e-05,0,0.00292858815438969,0
"TPM1",0.0262190819615742,0.00688412604091598,0.0207580029764556,0.0100831732121545,0.0220504569037578,0.00575691670306338,0.0113920633356899,0.0125037023393986,0.00583423542489186,0.0353521979129243,0.0136484361393285,0.0271728383632718
"NPPA",0.118323346977086,0.00796794190540341,0.0344687465318559,0.017580821650604,0.00207650010352489,0.00246858696278182,0.00315972686377463,0.00339402005547705,0.0023357662656059,0.0398114404520757,0.0025999647493965,0.040178823453886
"SLC8A1",0.0195111781260348,0.00137644813752392,0.0482241413271213,0.0021642860438838,0.00139440797640319,0.000977301935683943,0.00207161871805731,0.00568729783190097,0.000884756173152172,0.00191939994679862,0.00245383547031,0.0225822165928329
"MYOM1",0.024150680221592,0.00139364344615099,0.00603250173671944,0.00542701581223963,0.00092379178016225,0.00061695605308158,0.000994251627474606,0.00247003527874961,0.000440314528015694,0.00254176456902624,0.00102793839712237,0.029906132840381
"TNNI1",0.0295773069436253,0.00470128405251962,0.017955719229595,0.00915504046896298,0.017490776451924,0.00168010522892333,0.00220736719127588,0.00337730114338526,0.00185324066335487,0.0368801296228391,0.00213757281454652,0.0340707225433033
"MYOZ2",0.020591689837514,0.00337906041781589,0.019179736140815,0.00470672853508454,0.000467672087525835,0.00141351351267716,0.000882752781507263,0.00186940475548991,0.00139436906302079,0.0508992534679566,0.00076945502524105,0.0221862688977106
"MYH6",0.143086197006672,0.00259095630635365,0.00658796934930271,0.00455805070389043,0.00142158666254537,0.00120003139240381,0.0016805401974246,0.00090165171688403,0.000760183697571352,0.00543169041970149,0.0018836086188926,0.00391923472703647
"LDB3",0.0346664302438143,0.00235626701316666,0.00977085171682238,0.00319556899220576,0.000907120154564747,0.000833861608633387,0.00052518812824161,0.000816735750784906,0.000701982041736865,0.00963932475587229,0.00109368871780328,0.0289868746457054
"MYBPC3",0.0707485433885047,0.00540035432890776,0.0162896549476626,0.00917484027862748,0.00199555642008316,0.00134826439942024,0.00163435039171417,0.00382022552260919,0.00275190017639143,0.00896823111320736,0.00147684810433436,0.0702093410213593
"HSPB7",0.0260451246925322,0.00420814987616458,0.0162231878196562,0.00612230387750952,0.0131281550897489,0.00254670751689229,0.00491311255369052,0.00368352695874388,0.00193292564775861,0.0430514565922995,0.00319990557120396,0.0350621040154209
"SORBS2",0.0204271011849933,0.0029267861537709,0.00807379815582129,0.00945472259023054,0.0101902413404176,0.00288873894062829,0.00801981590991314,0.00229060560164334,0.00155134742884861,0.00541039808281958,0.00163231316736438,0.0444964347622163
"COL3A1",0.017892221557214,0.38410202043819,0.030882579473325,0.0432290609279886,0.0407480066277996,0.108261614606934,0.0996026234116951,0.207806311722975,0.147418181007647,0.000994753359486934,0.104631204589144,0.00347410301339701
"ELN",0.0104507893140232,0.0775115613247493,0.0457967005906205,0.0104467660484458,0.00612767103478934,0.0303947620031965,0.0445371405773509,0.0321488797909205,0.0207867917369132,0.00015935115111703,0.12021119164714,0.000916541944941779
"CRABP2",0.00348250723298257,0.089339787821453,0.0134129373028578,0.00327073465287748,0.0231731399863901,0.0354221383610556,0.0499993565758704,0.00393000053333559,0.00693691887838789,0.0028592273012068,0.110980938790367,0.00994207835283331
"GJA4",0.000535123501163068,0.182892423891273,0.00347588491469811,0.258623527767106,0.000921134227394425,0.000575935287664689,0.000656445457569079,0.0209976220898356,0.000312737130642453,0,0.000742552836169897,0.00036020785975052
"CLU",0.000195906279738861,0.00564724465794621,0.00111569414972966,0.00164055171872086,0.00155023857583846,0.000392179727131435,0.0107802935179094,0.000447640803085411,0.000866873140221076,9.94435018722644e-05,0.000983848612859987,0.000691758093270027
"ALDH1A1",0.000216859813031857,0.00253245541634458,0.008984122612134,0.000986040635153357,0.000311386862733289,0.000194035821034857,0.000264111227706276,4.80281486297496e-05,4.61162388243799e-05,3.93074185437172e-05,0.0027111788527484,4.32543278256793e-05
"FAM46C",0.000191135373733289,0.00204033176034665,0,0.000871433253243988,0.00223947572289068,0.00030874255512394,0.000197797475086491,0,0.00017927200400927,0,0.000124239730014196,0.000745378585003001
"TMEM100",0.000943797875960935,0.151211443587115,0,0.00733624166204225,0,0.000465912721676431,0.0032384178672696,0.000767627734606788,0.000874025365472432,9.52327079434558e-05,0.000752161253337455,0.00359510590081732
